,Post URL
0,https://www.patheos.com/blogs/catholicnews/2012/10/pro-choice-terrorist-sentenced-for-death-threats-against-pro-lifers/
1,https://www.patheos.com/blogs/catholicnews/2012/10/san-franciscos-new-archbishop-seeks-to-rebuild-gods-house/
2,https://www.patheos.com/blogs/catholicnews/2012/10/presidential-debate-reflects-catholic-concerns-over-economy/
3,https://www.patheos.com/blogs/catholicnews/2012/10/pro-life-group-charges-court-bias-in-costa-rica-ivf-case/
4,https://www.patheos.com/blogs/catholicnews/2012/10/ordination-of-33-deacons-fills-st-peters-with-joy/
5,https://www.patheos.com/blogs/catholicnews/2012/10/our-sunday-visitor-marks-100-years-in-print/
6,https://www.patheos.com/blogs/catholicnews/2012/10/pope-entrusts-year-of-faith-evangelization-synod-to-mary/
7,https://www.patheos.com/blogs/catholicnews/2012/10/speaker-will-connect-national-debt-anti-family-hostility/
8,https://www.patheos.com/blogs/catholicnews/2012/10/paul-ryan-video-for-catholic-voters-stresses-religious-freedom-2/
9,https://www.patheos.com/blogs/catholicnews/2012/10/paul-ryan-video-for-catholic-voters-stresses-religious-freedom/
10,https://www.patheos.com/blogs/catholicnews/2012/10/episcopal-bishop-gives-archbishop-cordileone-frosty-welcome/
11,https://www.patheos.com/blogs/catholicnews/2012/10/christian-bible-publisher-sues-over-hhs-mandate/
12,https://www.patheos.com/blogs/catholicnews/2012/10/obama-campaign-accused-of-calls-targeting-romneys-mormon-faith/
13,https://www.patheos.com/blogs/catholicnews/2012/10/trial-reveals-papal-butlers-interest-in-masonry-church-scandals/
14,https://www.patheos.com/blogs/catholicnews/2012/10/church-in-chile-confirms-investigation-of-bishop-for-alleged-abuse/
15,https://www.patheos.com/blogs/catholicnews/2012/10/pope-says-liturgical-abuses-detract-from-christ-2/
16,https://www.patheos.com/blogs/catholicnews/2012/10/pope-says-liturgical-abuses-detract-from-christ/
17,https://www.patheos.com/blogs/catholicnews/2012/10/calif-gay-therapy-law-erodes-parental-rights-critics-charge/
18,https://www.patheos.com/blogs/catholicnews/2012/10/ny-bishops-say-government-private-charities-should-ease-poverty-2/
19,https://www.patheos.com/blogs/catholicnews/2012/10/ny-bishops-say-government-private-charities-should-ease-poverty/
20,https://www.patheos.com/blogs/catholicnews/2012/10/anti-christian-graffiti-hits-franciscan-convent-in-jerusalem/
21,https://www.patheos.com/blogs/catholicnews/2012/10/pope-to-examine-social-networks-as-portals-of-faith/
22,https://www.patheos.com/blogs/catholicnews/2012/10/pro-life-leaders-urge-veto-of-buenos-aires-abortion-law/
23,https://www.patheos.com/blogs/catholicnews/2012/10/popes-butler-pleads-innocent-in-document-theft/
24,https://www.patheos.com/blogs/catholicnews/2012/10/catholic-students-spark-controversy-over-ivf-support-2/
25,https://www.patheos.com/blogs/catholicnews/2012/10/catholic-students-spark-controversy-over-ivf-support/
26,https://www.patheos.com/blogs/catholicnews/2012/10/ewtn-novena-begins-with-homily-on-spiritual-aspect-of-religious-freedom-fight/
27,https://www.patheos.com/blogs/catholicnews/2012/10/mo-business-appealing-ruling-against-its-hhs-mandate-lawsuit/
28,https://www.patheos.com/blogs/catholicnews/2012/10/scheduled-execution-put-on-hold-in-pennsylvania/
29,https://www.patheos.com/blogs/catholicnews/2012/10/supreme-court-justices-urged-to-let-god-inspire-their-work/
30,https://www.patheos.com/blogs/catholicnews/2012/10/pope-names-texas-monsignor-as-new-tyler-bishop/
31,https://www.patheos.com/blogs/catholicnews/2012/10/brazilian-bishops-slam-magazine-for-photo-of-crucified-soccer-star/
32,https://www.patheos.com/blogs/catholicnews/2012/09/dodger-stadium-to-host-joyous-pro-life-youth-event/
33,https://www.patheos.com/blogs/catholicnews/2012/09/pope-rejoice-when-non-catholics-do-good/
34,https://www.patheos.com/blogs/catholicnews/2012/09/no-actors-life-for-him/
35,https://www.patheos.com/blogs/catholicnews/2012/09/church-remembers-carthusian-monastic-founder-st-bruno-oct-6/
36,https://www.patheos.com/blogs/catholicnews/2012/09/former-abortion-clinic-workers-detail-conversion-stories/
37,https://www.patheos.com/blogs/catholicnews/2012/09/immigration-policy-opening-doors-for-young-people/
38,https://www.patheos.com/blogs/catholicnews/2012/09/mountain-of-evidence-revealed-as-trial-of-popes-butler-begins/
