,Post URL
0,https://www.patheos.com/blogs/daffeythoughts/2016/07/the-pope-who-goofed-2.html
1,https://www.patheos.com/blogs/daffeythoughts/2016/07/christiane-amanpour-does-double-duty.html
2,https://www.patheos.com/blogs/daffeythoughts/2016/06/patheos-ho.html
3,https://www.patheos.com/blogs/daffeythoughts/2016/06/ha-2.html
4,https://www.patheos.com/blogs/daffeythoughts/2016/06/im-sure-theres-nothing-to-see-here.html
5,https://www.patheos.com/blogs/daffeythoughts/2016/06/another-unperson-sighting.html
6,https://www.patheos.com/blogs/daffeythoughts/2016/06/words-cannot-describe-how-much-i-hate.html
7,https://www.patheos.com/blogs/daffeythoughts/2016/06/prayers-for-the-victims-and-families-of-the-those-killed-in-the-train-collision-in-texas.html
8,https://www.patheos.com/blogs/daffeythoughts/2016/06/heh.html
9,https://www.patheos.com/blogs/daffeythoughts/2016/06/the-benghazi-report.html
10,https://www.patheos.com/blogs/daffeythoughts/2016/06/why-catholics-should-apologize-to-gays.html
11,https://www.patheos.com/blogs/daffeythoughts/2016/06/pray-for-the-victims-of-the-turkish-bombing.html
12,https://www.patheos.com/blogs/daffeythoughts/2016/06/the-dallas-morning-news.html
13,https://www.patheos.com/blogs/daffeythoughts/2016/06/as-if-on-cue.html
14,https://www.patheos.com/blogs/daffeythoughts/2016/06/we-dont-need-no-stinking-freedom.html
15,https://www.patheos.com/blogs/daffeythoughts/2016/06/prayers-for-the-people-of-west-virginia.html
16,https://www.patheos.com/blogs/daffeythoughts/2016/06/pope-francis-has-met-enemy.html
17,https://www.patheos.com/blogs/daffeythoughts/2016/06/why-is-trumps-support-plummeting.html
18,https://www.patheos.com/blogs/daffeythoughts/2016/06/in-which-catholics-and-christians-judge-the-heart-and-soul-of-fellow-christians.html
19,https://www.patheos.com/blogs/daffeythoughts/2016/06/a-homily-worth-the-read.html
20,https://www.patheos.com/blogs/daffeythoughts/2016/06/getting-to-know-modern-unpeople.html
21,https://www.patheos.com/blogs/daffeythoughts/2016/06/a-free-predication-about-the-brexit-vote.html
22,https://www.patheos.com/blogs/daffeythoughts/2016/06/some-takes-on-the-brexit-vote.html
23,https://www.patheos.com/blogs/daffeythoughts/2016/06/i-adore-stories-like-this.html
24,https://www.patheos.com/blogs/daffeythoughts/2016/06/in-other-news-us-bishops-are-shocked-the-obama-administration-upholds-limits-on-religious-liberty.html
25,https://www.patheos.com/blogs/daffeythoughts/2016/06/the-united-kingdom-voted-to-leave-the-european-union.html
26,https://www.patheos.com/blogs/daffeythoughts/2016/06/donald-trumps-speech.html
27,https://www.patheos.com/blogs/daffeythoughts/2016/06/sanity-in-the-midst-of-insanity.html
28,https://www.patheos.com/blogs/daffeythoughts/2016/06/attention-gun-control-democrats.html
29,https://www.patheos.com/blogs/daffeythoughts/2016/06/attention-gun-control-democrats.html
30,https://www.patheos.com/blogs/daffeythoughts/2016/06/greeting-cards-for-all-your-same-sex.html
31,https://www.patheos.com/blogs/daffeythoughts/2016/06/brave-democrats-maintain-the-narrative.html
