,Post URL
0,https://www.patheos.com/blogs/hindu2/2016/02/jalaluddin-rumi-quotes-poems-on-life-love-death/
1,https://www.patheos.com/blogs/hindu2/2016/02/101-famous-nelson-mandela-quotes-to-inspire-motivate/
2,https://www.patheos.com/blogs/hindu2/2014/09/swami-vivekananda-quotes-thoughts/
3,https://www.patheos.com/blogs/hindu2/2019/04/similarities-between-judaism-and-the-hindu-way-of-life/
4,https://www.patheos.com/blogs/hindu2/2019/02/upa-or-nda-which-is-better-factual-comparison/
5,https://www.patheos.com/blogs/hindu2/2019/02/india-pakistan-timeline-of-wars-terrorism-1947-partition/
6,https://www.patheos.com/blogs/hindu2/2019/02/pulwama-attack-timeline-synopsis-get-all-the-facts/
7,https://www.patheos.com/blogs/hindu2/2019/01/a-brief-history-of-the-somnath-temple/
8,https://www.patheos.com/blogs/hindu2/2019/01/j-krishnamurti-is-there-a-meditation-that-video/
9,https://www.patheos.com/blogs/hindu2/2019/01/j-krishnamurti-sorrow-is-part-of-our-self-centred-activity-video/
10,https://www.patheos.com/blogs/hindu2/2019/01/j-krishnamurti-thought-and-time-are-always-together-video/
11,https://www.patheos.com/blogs/hindu2/2018/12/j-krishnamurti-what-is-our-brain-video/
12,https://www.patheos.com/blogs/hindu2/2018/12/j-krishnamurti-bombay-mumbai-1985-public-qa-1-video/
13,https://www.patheos.com/blogs/hindu2/2018/12/j-krishnamurti-bombay-mumbai-1984-talk-with-young-people-video/
14,https://www.patheos.com/blogs/hindu2/2018/12/indias-participation-in-world-war-2/
15,https://www.patheos.com/blogs/hindu2/2018/12/j-krishnamurti-love-freedom-goodness-beauty-are-one-video/
16,https://www.patheos.com/blogs/hindu2/2018/11/j-krishnamurti-the-art-of-living-and-dying-video/
17,https://www.patheos.com/blogs/hindu2/2018/11/j-krishnamurti-the-endless-cycle-of-action-and-reaction-video/
18,https://www.patheos.com/blogs/hindu2/2018/11/a-brief-list-of-the-destruction-of-temples-in-ancient-india/
19,https://www.patheos.com/blogs/hindu2/2018/11/j-krishnamurti-a-different-quality-of-life-video/
20,https://www.patheos.com/blogs/hindu2/2018/11/j-krishnamurti-bombay-mumbai-1984-public-qa-1-video/
21,https://www.patheos.com/blogs/hindu2/2018/10/indias-contribution-to-world-war-1/
22,https://www.patheos.com/blogs/hindu2/2018/10/j-krishnamurti-the-violent-self-video/
23,https://www.patheos.com/blogs/hindu2/2018/10/j-krishnamurti-conditioning-prisoners-of-the-past-video/
24,https://www.patheos.com/blogs/hindu2/2018/10/j-krishnamurti-mirror-of-relationship-video/
25,https://www.patheos.com/blogs/hindu2/2018/10/j-krishnamurti-meditation-video-2/
26,https://www.patheos.com/blogs/hindu2/2018/09/j-krishnamurti-choiceless-awareness-video/
27,https://www.patheos.com/blogs/hindu2/2018/09/no-civilian-deaths-from-terrorism-in-india-in-3-years-in-non-border-areas/
28,https://www.patheos.com/blogs/hindu2/2018/09/j-krishnamurti-the-sacred-video/
29,https://www.patheos.com/blogs/hindu2/2018/09/j-krishnamurti-freedom-and-authority-video/
